station,lat,lon,station_name_pinyin,station_name_zh,station_name_en,city_pinyin,city_zh,city_en,region,province
1167A,31.3708,120.641,xiāngchéngqū,相城区,Xiangcheng District,sūzhōu,苏州,Suzhou,Mainland China,Jiangsu
1001A,39.8673,116.366,wànshòuxīgōng,万寿西宫,Wanshou Xigong,běijīng,北京,Beijing,Mainland China,Beijing
1002A,40.2865,116.17,dìnglíng,定陵,Dingling,běijīng,北京,Beijing,Mainland China,Beijing
1003A,39.9522,116.434,dōngsì,东四,Dongsi,běijīng,北京,Beijing,Mainland China,Beijing
1004A,39.8745,116.434,tiāntán,天坛,Temple of Heaven,běijīng,北京,Beijing,Mainland China,Beijing
1005A,39.9716,116.473,nóngzhǎnguǎn,农展馆,Agricultural exhibition hall,běijīng,北京,Beijing,Mainland China,Beijing
1006A,39.9425,116.361,guānyuán,官园,Guanyuan,běijīng,北京,Beijing,Mainland China,Beijing
1007A,39.9934,116.315,hǎidiànqūwànlǐu,海淀区万柳,"Wanliu, Haidian District",běijīng,北京,Beijing,Mainland China,Beijing
1008A,40.1438,116.72,shùnyìxīnchéng,顺义新城,Shunyi New Town,běijīng,北京,Beijing,Mainland China,Beijing
1009A,40.3937,116.644,huáiróuzhèn,怀柔镇,Huairou Town,běijīng,北京,Beijing,Mainland China,Beijing
1010A,40.1952,116.23,chāngpíngzhèn,昌平镇,Changping Town,běijīng,北京,Beijing,Mainland China,Beijing
1011A,40.0031,116.407,àotǐzhōngxīn,奥体中心,Olympic Sports Center,běijīng,北京,Beijing,Mainland China,Beijing
1012A,39.9279,116.225,gǔchéng,古城,Gucheng District,běijīng,北京,Beijing,Mainland China,Beijing
1013A,39.097,117.151,shìjiāncèzhōngxīn,市监测中心,City monitoring center,tiānjīn,天津,Tianjin,Mainland China,Tianjin
1014A,39.173,117.193,nánkǒulù,南口路,Nankou Road,tiānjīn,天津,Tianjin,Mainland China,Tianjin
1015A,39.1654,117.145,qínjiǎnlù,勤俭路,Diligent road,tiānjīn,天津,Tianjin,Mainland China,Tianjin
1016A,39.1205,117.184,nánjīnglù,南京路,Nanjing Road,tiānjīn,天津,Tianjin,Mainland China,Tianjin
1017A,39.1082,117.237,dàzhígūbāhàolù,大直沽八号路,Dazhijing No.8 Road,tiānjīn,天津,Tianjin,Mainland China,Tianjin
1018A,39.0927,117.202,qiánjìnlù,前进路,Forward road,tiānjīn,天津,Tianjin,Mainland China,Tianjin
1019A,39.2133,117.1837,běichénkējìyuánqū,北辰科技园区,Beichen Science and Technology Park,tiānjīn,天津,Tianjin,Mainland China,Tianjin
1020A,39.1337,117.269,tiānshānlù,天山路,Tianshan Road,tiānjīn,天津,Tianjin,Mainland China,Tianjin
1021A,39.0877,117.307,yuèjìnlù,跃进路,Yuejin Road,tiānjīn,天津,Tianjin,Mainland China,Tianjin
1023A,39.0343,117.707,dìsìdàjiē,第四大街,Fourth Avenue,tiānjīn,天津,Tianjin,Mainland China,Tianjin
