,,a,available,b,conc,date,default,firstmonth,intercept,intercept.lower,intercept.upper,lastmonth,lower,lower.a,lower.b,lower.percent,p,p.stars,slope,slope.percent,upper,upper.a,upper.b,upper.percent
1001A,CO,5.8102756930357975,0.9758064516129032,-0.00027487170664613044,1.1749052609828707,16222.0,default,8_2014,5.8102756930357975,7.40018572146144,4.546318172014585,12_2019,-0.1347903948092876,7.40018572146144,-0.0003692887529021578,-9.56242662712518,0.0,***,-0.10032817292583761,-7.424529195764672,-0.0736708619416085,4.546318172014585,-0.00020183797792221506,-5.7912677854020895
1001A,SO2,68.9834386242102,0.9771505376344086,-0.003579243771440773,10.523184276259682,16222.0,default,8_2014,68.9834386242102,100.07530884299402,52.74728815661395,12_2019,-1.9509707989809062,100.07530884299402,-0.005345125476660017,-14.595773284563764,0.0,***,-1.306423976575882,-11.962553033130085,-0.9622734371280588,52.74728815661395,-0.002636365581172764,-9.641858323463797
1001A,O3,42.86936492398078,0.9583333333333334,0.0009736060184947196,49.379328104037306,16222.0,default,8_2014,42.86936492398078,100.93642969731124,-8.336200943207587,6_2019,-0.8781296278600424,100.93642969731124,-0.0024058345968768287,-1.4184204223127639,0.5075125208681135,,0.3553661967505726,0.6057736129518559,1.4305188573953005,-8.336200943207587,0.003919229746288494,2.5895707356898283
1001A,NO2,214.4162426310752,0.9717741935483871,-0.009661218213586117,59.491354420012286,16222.0,default,8_2014,214.4162426310752,247.22296486630734,178.95612362054072,12_2019,-4.188555939265231,247.22296486630734,-0.011475495724014332,-6.858898391615747,0.0,***,-3.5263446479589327,-6.112367478720628,-2.782714839969579,178.95612362054072,-0.0076238762738892575,-5.033708691105409
1001A,PM2.5,441.8583392943817,0.9543010752688172,-0.021871431545386153,70.48352308201754,16222.0,default,8_2014,441.8583392943817,527.7095068217151,360.8748779103302,12_2019,-9.750009126057122,527.7095068217151,-0.026712353770019515,-10.33040167374886,0.0,***,-7.983072514065946,-9.169623988762208,-6.260989398670827,360.8748779103302,-0.017153395612796787,-7.578743933678065
1001A,PM10,489.5565859420436,0.9663978494623656,-0.023203572874541695,100.64953747836674,16222.0,default,4_2017,489.5565859420436,619.227325426802,375.80617136866505,12_2019,-11.171069885668313,619.227325426802,-0.030605670919639213,-9.101251318288552,0.0,***,-8.469304099207719,-7.48514081120477,-6.093339528109761,375.80617136866505,-0.01669408089893085,-5.803468408817287
1002A,CO,2.9049072421315056,0.9825268817204301,-0.00012579905415714235,0.5665692341725996,16222.0,default,8_2014,2.9049072421315056,3.87814300642419,2.0839903064750276,12_2019,-0.0667038995359036,3.87814300642419,-0.0001827504096874071,-7.301487765886548,0.0,***,-0.04591665476735696,-5.313228557531856,-0.028562887414347267,2.0839903064750276,-7.825448606670484e-05,-3.506601989280235
1002A,SO2,53.810273225417774,0.9825268817204301,-0.002795702208500728,5.952360955319039,16222.0,default,8_2014,53.810273225417774,80.49489698529767,41.6346145257506,12_2019,-1.5822685988246912,80.49489698529767,-0.004334982462533401,-15.553896798677261,0.0,***,-1.0204313061027657,-12.064128810878657,-0.763082472415198,41.6346145257506,-0.00209063691072657,-9.884100609921104
1002A,O3,101.47888588891955,0.9166666666666666,-0.0017666493016410074,66.75967089675007,16222.0,default,8_2014,101.47888588891955,165.96242491856762,46.06046164639311,12_2019,-2.026622209741563,165.96242491856762,-0.005552389615730309,-2.6704184160421556,0.353923205342237,,-0.6448269950989677,-0.8855044362254775,0.4593063613403782,46.06046164639311,0.001258373592713365,0.6909585049958282
1002A,NO2,77.51589433277648,0.9368279569892473,-0.0030432872526255676,20.41773452266804,16222.0,default,8_2014,77.51589433277648,121.74794691480199,42.0470135954979,12_2019,-2.0371484790651366,121.74794691480199,-0.005581228709767498,-6.5273858446862745,0.013355592654423987,*,-1.1107998472083322,-3.9463270541453306,-0.35498485128822926,42.0470135954979,-0.0009725612364061076,-1.3512872448662616
